PART_ID,Block number,Trial_no,Session type,Correctness,Target present,Reaction time,Target position
ffM20,0,1,Training,True,True,0.8966983249410987,"[0, 4]"
ffM20,0,2,Training,True,True,0.6903459710301831,"[3, 0]"
ffM20,0,3,Training,True,True,1.2366530129220337,"[3, 2]"
ffM20,0,4,Training,True,True,0.671271687024273,"[0, 3]"
ffM20,0,5,Training,True,True,0.7700472560245544,"[2, 0]"
ffM20,0,6,Training,True,False,-1,"[-1, -1]"
ffM20,0,7,Training,True,True,0.7937243289779872,"[3, 4]"
ffM20,0,8,Training,True,False,-1,"[-1, -1]"
ffM20,0,9,Training,True,True,0.8606858421117067,"[4, 3]"
ffM20,0,10,Training,True,True,0.6382726089796051,"[4, 2]"
ffM20,0,1,Experiment,True,False,-1,"[-1, -1]"
ffM20,0,2,Experiment,True,True,0.75632184301503,"[1, 0]"
ffM20,0,3,Experiment,True,True,1.1595022800611332,"[4, 1]"
ffM20,0,4,Experiment,True,True,0.7241323878988624,"[2, 2]"
ffM20,0,5,Experiment,True,True,0.5855151320574805,"[0, 2]"
ffM20,0,6,Experiment,True,True,0.8251052770065144,"[3, 1]"
ffM20,0,7,Experiment,True,True,0.5268611910287291,"[2, 2]"
ffM20,0,8,Experiment,True,False,-1,"[-1, -1]"
ffM20,0,9,Experiment,True,True,0.7438458689721301,"[2, 4]"
ffM20,0,10,Experiment,False,False,2.5877058380283415,"[-1, -1]"
ffM20,0,11,Experiment,True,True,0.10362011496908963,"[4, 3]"
ffM20,0,12,Experiment,True,True,0.1244516660226509,"[4, 3]"
ffM20,0,13,Experiment,True,True,0.09332863101735711,"[1, 0]"
ffM20,0,14,Experiment,True,True,0.1271781090181321,"[3, 2]"
ffM20,0,15,Experiment,False,False,0.126418235944584,"[-1, -1]"
ffM20,0,16,Experiment,True,True,0.12633786792866886,"[1, 2]"
ffM20,0,17,Experiment,False,False,0.09258110902737826,"[-1, -1]"
ffM20,0,18,Experiment,False,False,0.11929508997127414,"[-1, -1]"
ffM20,0,19,Experiment,True,True,0.2260931140044704,"[2, 4]"
ffM20,0,20,Experiment,True,True,0.11685693601612002,"[4, 3]"
ffM20,0,21,Experiment,True,True,0.09331858099903911,"[2, 4]"
ffM20,0,22,Experiment,True,True,0.09383801801595837,"[2, 1]"
ffM20,0,23,Experiment,True,True,0.09339430893305689,"[3, 4]"
ffM20,0,24,Experiment,False,False,0.12650441005825996,"[-1, -1]"
ffM20,0,25,Experiment,True,True,0.06989216397050768,"[4, 3]"
ffM20,0,26,Experiment,False,False,0.1267748250393197,"[-1, -1]"
ffM20,0,27,Experiment,False,False,0.10277806303929538,"[-1, -1]"
ffM20,0,28,Experiment,True,True,0.10387840704061091,"[1, 0]"
ffM20,0,29,Experiment,False,False,0.1259140180191025,"[-1, -1]"
ffM20,0,30,Experiment,True,True,0.12578519596718252,"[0, 4]"
ffM20,0,31,Experiment,False,False,0.0903624250786379,"[-1, -1]"
ffM20,0,32,Experiment,False,False,0.12715007201768458,"[-1, -1]"
ffM20,0,33,Experiment,True,True,0.08943225909024477,"[4, 0]"
ffM20,0,34,Experiment,False,False,0.12400714308023453,"[-1, -1]"
ffM20,0,35,Experiment,False,False,0.29156537097878754,"[-1, -1]"
ffM20,0,36,Experiment,False,False,0.23683707497548312,"[-1, -1]"
ffM20,0,37,Experiment,True,True,0.22667777503374964,"[3, 3]"
ffM20,0,38,Experiment,True,True,0.1267895100172609,"[1, 1]"
ffM20,0,39,Experiment,True,True,0.12300164194311947,"[1, 0]"
ffM20,0,40,Experiment,False,False,0.10373790306039155,"[-1, -1]"
ffM20,0,41,Experiment,True,True,0.09330930607393384,"[2, 1]"
ffM20,0,42,Experiment,True,True,0.12105028296355158,"[2, 4]"
ffM20,0,43,Experiment,True,True,0.05965658195782453,"[4, 3]"
ffM20,0,44,Experiment,True,True,0.0937388950260356,"[0, 4]"
ffM20,0,45,Experiment,True,True,0.07000089704524726,"[0, 3]"
ffM20,0,46,Experiment,False,False,0.10320267407223582,"[-1, -1]"
ffM20,0,47,Experiment,True,True,0.09238494304008782,"[3, 0]"
ffM20,0,48,Experiment,True,True,0.22740430396515876,"[3, 0]"
ffM20,0,49,Experiment,True,True,0.08982873405329883,"[1, 3]"
ffM20,0,50,Experiment,False,False,0.35941510496195406,"[-1, -1]"
ffM20,1,1,Experiment,True,True,0.7242044559679925,"[2, 3]"
ffM20,1,2,Experiment,True,True,0.12694836501032114,"[1, 0]"
ffM20,1,3,Experiment,False,False,0.09358577604871243,"[-1, -1]"
ffM20,1,4,Experiment,True,True,0.09291193808894604,"[1, 2]"
ffM20,1,5,Experiment,True,True,0.09286507498472929,"[1, 4]"
ffM20,1,6,Experiment,False,False,0.09278693096712232,"[-1, -1]"
ffM20,1,7,Experiment,False,False,0.09247301600407809,"[-1, -1]"
ffM20,1,8,Experiment,True,True,0.0920871599810198,"[4, 2]"
ffM20,1,9,Experiment,True,True,0.01748969906475395,"[0, 3]"
ffM20,1,10,Experiment,True,True,0.05958547699265182,"[0, 1]"
ffM20,1,11,Experiment,True,True,0.10372923803515732,"[4, 1]"
ffM20,1,12,Experiment,False,False,0.1260522120865062,"[-1, -1]"
ffM20,1,13,Experiment,True,True,0.09327799291349947,"[3, 1]"
ffM20,1,14,Experiment,True,True,0.43653464200906456,"[0, 2]"
ffM20,1,15,Experiment,True,True,0.12690170796122402,"[3, 3]"
ffM20,1,16,Experiment,False,False,0.10180424398276955,"[-1, -1]"
ffM20,1,17,Experiment,False,False,0.12665442493744195,"[-1, -1]"
ffM20,1,18,Experiment,True,True,0.12619279301725328,"[0, 1]"
ffM20,1,19,Experiment,True,True,0.09269962494727224,"[4, 1]"
ffM20,1,20,Experiment,False,False,0.10344063397496939,"[-1, -1]"
ffM20,1,21,Experiment,True,True,0.12630631704814732,"[1, 2]"
ffM20,1,22,Experiment,True,True,0.09309729002416134,"[3, 4]"
ffM20,1,23,Experiment,True,True,0.12332038208842278,"[2, 0]"
ffM20,1,24,Experiment,True,True,0.09331748995464295,"[3, 2]"
ffM20,1,25,Experiment,True,True,0.08725004305597395,"[0, 0]"
ffM20,1,26,Experiment,True,True,0.09376052708830684,"[3, 3]"
ffM20,1,27,Experiment,False,False,0.1249361839145422,"[-1, -1]"
ffM20,1,28,Experiment,True,True,0.08922669407911599,"[1, 0]"
ffM20,1,29,Experiment,False,False,0.0597906019538641,"[-1, -1]"
ffM20,1,30,Experiment,False,False,0.12663741200231016,"[-1, -1]"
ffM20,1,31,Experiment,True,True,0.09272232803050429,"[2, 2]"
ffM20,1,32,Experiment,True,True,0.06815436005126685,"[3, 2]"
ffM20,1,33,Experiment,True,True,0.12451346893794835,"[1, 0]"
ffM20,1,34,Experiment,True,True,0.06947590608615428,"[2, 2]"
ffM20,1,35,Experiment,True,True,0.1267124010482803,"[0, 4]"
ffM20,1,36,Experiment,False,False,0.09345275699160993,"[-1, -1]"
ffM20,1,37,Experiment,False,False,0.10323758097365499,"[-1, -1]"
ffM20,1,38,Experiment,False,False,0.12668361200485379,"[-1, -1]"
ffM20,1,39,Experiment,False,False,0.09179641003720462,"[-1, -1]"
ffM20,1,40,Experiment,True,True,0.09323022200260311,"[4, 3]"
ffM20,1,41,Experiment,False,False,0.09404318104498088,"[-1, -1]"
ffM20,1,42,Experiment,True,True,0.09257005399558693,"[3, 2]"
ffM20,1,43,Experiment,True,True,0.0932466119993478,"[3, 0]"
ffM20,1,44,Experiment,True,True,0.08427974407095462,"[0, 1]"
ffM20,1,45,Experiment,False,False,0.06018128991127014,"[-1, -1]"
ffM20,1,46,Experiment,True,True,0.10393334203399718,"[3, 3]"
ffM20,1,47,Experiment,True,True,0.1272932339925319,"[2, 1]"
ffM20,1,48,Experiment,True,True,0.09376818791497499,"[2, 2]"
ffM20,1,49,Experiment,True,True,0.11970538296736777,"[4, 3]"
ffM20,1,50,Experiment,True,True,0.09403383894823492,"[2, 1]"
